fips,pop_tot,pop_male,pop_female,hispanic,labor_total,labor_armed,labor_employed,labor_unemployed,income_median,income_percapita,income_poverty,native_yes,native_no,houses_tot,income_10,income_10-15,income_15-25,income_25,marital_single,marital_married,marital_sepdiv,marital_widow,edu_low,edu_mid,edu_high,edu_low_age_18,edu_low_age_45,edu_low_age_65,edu_mid_age_18,edu_mid_age_45,edu_mid_age_65,edu_high_age_18,edu_high_age_45,edu_high_age_65,race_wht_total,race_wht_male,race_wht_female,race_blk_total,race_blk_male,race_blk_female,race_other_total,race_other_male,race_other_female,area_sqmi,pop_density,year,dem,repub,other
1021,43121,21298,21823,2806,20222.0,7.0,18375.0,1840.0,39486.0,20517.0,7887.0,41413.0,1708.0,16563,1695.0,1290.0,2376.0,11202.0,7438,19677,4606,2415,7771,20803,3634,3373,2068,2330,10010,7814,2979,1982,1233,419,37736,18589,19147,4052,1990,2062,1333,719,614,692.854,62.23677715651493,2008,3674,13960,151
12051,38360,20653,17707,19167,16420.0,0.0,14129.0,2291.0,36504.0,16381.0,9761.0,28624.0,9736.0,11156,851.0,882.0,2219.0,7204.0,10695,12700,4126,1822,9309,15815,2524,4730,2928,1651,8682,4594,2539,875,1255,394,27230,14712,12518,4713,2513,2200,6417,3428,2989,1190.011,32.23499614709444,2012,4751,5355,79
40149,11622,5745,5877,1034,5301.0,0.0,5145.0,156.0,47300.0,24213.0,1646.0,11386.0,236.0,4585,320.0,287.0,572.0,3406.0,1528,5638,1234,659,1256,5932,1414,491,358,407,2502,2188,1242,558,558,298,10621,5273,5348,94,51,43,907,421,486,1008.791,11.520721338711388,2012,822,3494,0
41033,85481,41984,43497,6246,34148.0,51.0,31292.0,2805.0,43046.0,24763.0,15670.0,81934.0,3547.0,35978,3195.0,2347.0,4557.0,25879.0,16513,37753,12117,5343,7222,50542,10929,2640,2417,2165,17863,17239,15440,2795,4120,4014,78686,38397,40289,379,278,101,6416,3309,3107,1640.817,52.096607970297725,2016,13453,26923,4184
19055,17258,8689,8569,254,9558.0,0.0,9334.0,224.0,61179.0,31300.0,1448.0,17167.0,91.0,6939,285.0,214.0,688.0,5752.0,3114,8473,1167,1119,1114,9833,2195,330,264,520,3459,4021,2353,1029,792,374,16865,8483,8382,48,26,22,345,180,165,578.944,29.80944616405041,2016,2957,5694,590
46039,4373,2240,2133,98,2453.0,8.0,2331.0,114.0,47000.0,22276.0,261.0,4286.0,87.0,1802,122.0,88.0,180.0,1412.0,746,2333,219,242,480,2299,557,119,88,273,912,957,430,207,196,154,4340,2229,2111,0,0,0,33,11,22,622.686,7.022801219234092,2008,1054,1088,36
27101,8779,4362,4417,195,4625.0,13.0,4454.0,158.0,45657.0,24045.0,785.0,8658.0,121.0,3831,232.0,246.0,502.0,2851.0,1387,4594,514,735,909,4970,985,206,142,561,1672,2072,1226,360,413,212,8511,4205,4306,4,3,1,264,154,110,704.702,12.4577480977775,2008,2345,2320,148
21135,13968,7375,6593,28,5645.0,0.0,4807.0,838.0,28376.0,14915.0,3790.0,13933.0,35.0,5030,957.0,525.0,829.0,2719.0,2317,6126,1622,1022,3505,5965,1193,1018,1188,1299,3054,2323,588,664,426,103,13739,7220,6519,77,77,0,152,78,74,482.836,28.929077367884748,2008,1510,3213,68
55065,16716,8538,8178,732,8597.0,3.0,8391.0,203.0,69293.0,33484.0,1744.0,16240.0,476.0,6652,290.0,211.0,413.0,5738.0,3777,7221,1536,919,1292,9090,2314,635,381,276,3248,3307,2535,1070,784,460,15877,8071,7806,80,32,48,759,435,324,634.565,26.342455067644764,2020,3647,4821,87
47107,52773,25537,27236,2041,22747.0,24.0,21141.0,1582.0,41398.0,23842.0,10077.0,51452.0,1321.0,20427,2108.0,1563.0,2851.0,13905.0,10152,22222,7432,3691,6304,29180,5979,2005,1831,2468,12160,10680,6340,2506,2173,1300,48645,23641,25004,2018,981,1037,2110,915,1195,432.181,122.10856099643436,2016,3510,14691,554
